circuit,n_qubits,family,depth_bucket,decision_class,rec_key,fastest_key,is_fastest,overhead,source
Bonus-RandNonCliff-20-deep-73620,20,RandomNonClifford,deep,low_tw,native/matrix_product_state,qpanda/statevector,False,3433.67,ec2
Bonus-RandNonCliff-20-shallow-20890,20,RandomNonClifford,shallow,low_tw,native/matrix_product_state,qpanda/statevector,False,2024.88,ec2
Bonus-RandNonCliff-20-medium-53339,20,RandomNonClifford,medium,low_tw,native/matrix_product_state,qpanda/statevector,False,1754.74,ec2
RandNonCliff-20-deep,20,RandomNonClifford,deep,low_tw,native/matrix_product_state,qpanda/statevector,False,868.44,ec2
Grover-10-b12,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,687.09,local
QPE-20,20,QPE,,low_tw,native/matrix_product_state,qpanda/statevector,False,650.63,ec2
Grover-10-b13,10,Grover,,clifford,native/statevector,qpanda/statevector,False,646.07,local
Grover-10-b8,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,625.78,local
Bonus-RandNonCliff-12-deep-64663,12,RandomNonClifford,deep,low_tw,qpanda/statevector,qpanda/density_matrix,False,618.6,ec2
Grover-10-b11,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,611.23,local
Grover-10-b3,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,561.39,local
Grover-10-b14,10,Grover,,clifford,native/statevector,qpanda/statevector,False,546.19,local
Grover-10-b15,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,543.45,local
Grover-10-b2,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,525.15,local
Grover-10-b6,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,483.79,local
Grover-10-b4,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,480.17,local
Grover-10-b5,10,Grover,,clifford,native/statevector,qpanda/statevector,False,471.85,local
Grover-10-b9,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,467.29,local
Bonus-RandCliff-8-medium-60852,8,RandomClifford,medium,clifford,native/statevector,qpanda/statevector,False,454.21,ec2
Grover-10-b7,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,436.78,local
RandCliff-8-medium-b7,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,412.47,local
Grover-10-b1,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,387.28,local
RandCliff-8-shallow-b12,8,RandomClifford,shallow,clifford,native/statevector,qpanda/statevector,False,358.08,local
Bonus-RandNonCliff-20-deep-95388,20,RandomNonClifford,deep,low_tw,native/matrix_product_state,qpanda/statevector,False,348.49,ec2
Grover-10-b10,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,346.63,local
RandCliff-8-medium-b2,8,RandomClifford,medium,clifford,native/statevector,qpanda/statevector,False,339.82,local
RandCliff-8-medium-b9,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,321.03,local
RandNonCliff-12-shallow-b7,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,277.87,local
RandCliff-8-medium-b13,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,263.87,local
RandCliff-8-shallow-b10,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,262.08,local
RandCliff-8-shallow-b6,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,258.0,local
RandCliff-8-shallow-b1,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,252.57,local
RandCliff-12-shallow,12,RandomClifford,shallow,clifford,qiskit/statevector,qiskit/stabilizer,False,247.54,ec2
RandCliff-8-shallow-b13,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,246.77,local
RandCliff-8-medium-b4,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,242.35,local
RandCliff-8-shallow-b11,8,RandomClifford,shallow,clifford,native/statevector,qpanda/statevector,False,239.55,local
Grover-8-b15,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,236.09,local
RandCliff-8-medium-b11,8,RandomClifford,medium,clifford,native/statevector,qpanda/statevector,False,234.02,local
QAOA-10-b6,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,228.23,local
QAOA-10-b1,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,227.64,local
QAOA-10-b11,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,226.53,local
RandCliff-8-shallow-b15,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,226.47,local
RandCliff-8-medium-b8,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,224.27,local
GHZ-12-b8,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,218.11,local
Grover-8-b1,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,216.6,local
QAOA-10-b15,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,214.41,local
QAOA-10-b2,10,QAOA,,low_tw,native/statevector,qpanda/statevector,False,214.38,local
RandCliff-8-shallow-b14,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,211.62,local
QPE-12-b10,13,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,206.58,local
